Districts,id,cases,Population,Ratio
Nilphamari,Nilphamari-1,353,2049000,0.000172279
Nilphamari,Nilphamari-2,353,2049000,0.000172279
Nilphamari,Nilphamari-3,353,2049000,0.000172279
Nilphamari,Nilphamari-4,353,2049000,0.000172279
Nilphamari,Nilphamari-5,353,2049000,0.000172279
Nilphamari,Nilphamari-6,353,2049000,0.000172279
Noakhali,Noakhali-1,2839,3491000,0.000813234
Noakhali,Noakhali-2,2839,3491000,0.000813234
Noakhali,Noakhali-3,2839,3491000,0.000813234
Noakhali,Noakhali-4,2839,3491000,0.000813234
Noakhali,Noakhali-5,2839,3491000,0.000813234
Noakhali,Noakhali-6,2839,3491000,0.000813234
Pabna,Pabna-1,724,2818000,0.00025692
Pabna,Pabna-2,724,2818000,0.00025692
Pabna,Pabna-3,724,2818000,0.00025692
Pabna,Pabna-4,724,2818000,0.00025692
Pabna,Pabna-5,724,2818000,0.00025692
Pabna,Pabna-6,724,2818000,0.00025692
Pabna,Pabna-7,724,2818000,0.00025692
Pabna,Pabna-8,724,2818000,0.00025692
Pabna,Pabna-9,724,2818000,0.00025692
Panchagarh,Panchagarh-1,146,1104000,0.000132246
Panchagarh,Panchagarh-2,146,1104000,0.000132246
Panchagarh,Panchagarh-3,146,1104000,0.000132246
Panchagarh,Panchagarh-4,146,1104000,0.000132246
Panchagarh,Panchagarh-5,146,1104000,0.000132246
Patuakhali,Patuakhali-1,893,1703000,0.000524369
Patuakhali,Patuakhali-2,893,1703000,0.000524369
Patuakhali,Patuakhali-3,893,1703000,0.000524369
Patuakhali,Patuakhali-4,893,1703000,0.000524369
Patuakhali,Patuakhali-5,893,1703000,0.000524369
Patuakhali,Patuakhali-6,893,1703000,0.000524369
Pirojpur,Pirojpur-1,218,1208000,0.000180464
Pirojpur,Pirojpur-2,218,1208000,0.000180464
Pirojpur,Pirojpur-3,218,1208000,0.000180464
Pirojpur,Pirojpur-4,218,1208000,0.000180464
Pirojpur,Pirojpur-5,218,1208000,0.000180464
Pirojpur,Pirojpur-6,218,1208000,0.000180464
Pirojpur,Pirojpur-7,218,1208000,0.000180464
Rajbari,Rajbari-1,814,1144000,0.000711538
Rajbari,Rajbari-2,814,1144000,0.000711538
Rajbari,Rajbari-3,814,1144000,0.000711538
Rajbari,Rajbari-4,814,1144000,0.000711538
Rajshahi,Rajshahi-1,2429,2853000,0.000851385
Rajshahi,Rajshahi-2,2429,2853000,0.000851385
Rajshahi,Rajshahi-3,2429,2853000,0.000851385
Rajshahi,Rajshahi-4,2429,2853000,0.000851385
Rajshahi,Rajshahi-5,2429,2853000,0.000851385
Rajshahi,Rajshahi-6,2429,2853000,0.000851385
Rajshahi,Rajshahi-7,2429,2853000,0.000851385
Rajshahi,Rajshahi-8,2429,2853000,0.000851385
Rajshahi,Rajshahi-9,2429,2853000,0.000851385
Rajshahi,Rajshahi-10,2429,2853000,0.000851385
Rangamati,Rangamati-1,511,653000,0.000782542
Rangamati,Rangamati-2,511,653000,0.000782542
Rangamati,Rangamati-3,511,653000,0.000782542
Rangamati,Rangamati-4,511,653000,0.000782542
Rangamati,Rangamati-5,511,653000,0.000782542
Rangamati,Rangamati-6,511,653000,0.000782542
Rangamati,Rangamati-7,511,653000,0.000782542
Rangamati,Rangamati-8,511,653000,0.000782542
Rangamati,Rangamati-9,511,653000,0.000782542
Rangamati,Rangamati-10,511,653000,0.000782542
Rangpur,Rangpur-1,983,3211000,0.000306135
Rangpur,Rangpur-2,983,3211000,0.000306135
Rangpur,Rangpur-3,983,3211000,0.000306135
Rangpur,Rangpur-4,983,3211000,0.000306135
Rangpur,Rangpur-5,983,3211000,0.000306135
Rangpur,Rangpur-6,983,3211000,0.000306135
Rangpur,Rangpur-7,983,3211000,0.000306135
Rangpur,Rangpur-8,983,3211000,0.000306135
Satkhira,Satkhira-1,547,2174000,0.00025161
Satkhira,Satkhira-2,547,2174000,0.00025161
Satkhira,Satkhira-3,547,2174000,0.00025161
Satkhira,Satkhira-4,547,2174000,0.00025161
Satkhira,Satkhira-5,547,2174000,0.00025161
Satkhira,Satkhira-6,547,2174000,0.00025161
Satkhira,Satkhira-7,547,2174000,0.00025161
Shariatpur,Shariatpur-1,843,1284000,0.000656542
Shariatpur,Shariatpur-2,843,1284000,0.000656542
Shariatpur,Shariatpur-3,843,1284000,0.000656542
Shariatpur,Shariatpur-4,843,1284000,0.000656542
Shariatpur,Shariatpur-5,843,1284000,0.000656542
Sherpur,Sherpur-1,267,1504000,0.000177527
Sherpur,Sherpur-2,267,1504000,0.000177527
Sherpur,Sherpur-3,267,1504000,0.000177527
Sherpur,Sherpur-4,267,1504000,0.000177527
Sherpur,Sherpur-5,267,1504000,0.000177527
Sirajganj,Sirajganj-1,1180,3455000,0.000341534
Sirajganj,Sirajganj-2,1180,3455000,0.000341534
Sirajganj,Sirajganj-3,1180,3455000,0.000341534
Sirajganj,Sirajganj-4,1180,3455000,0.000341534
Sirajganj,Sirajganj-5,1180,3455000,0.000341534
Sirajganj,Sirajganj-6,1180,3455000,0.000341534
Sirajganj,Sirajganj-7,1180,3455000,0.000341534
Sirajganj,Sirajganj-8,1180,3455000,0.000341534
Sirajganj,Sirajganj-9,1180,3455000,0.000341534
Sunamganj,Sunamganj-1,1278,2800000,0.000456429
Sunamganj,Sunamganj-2,1278,2800000,0.000456429
Sunamganj,Sunamganj-3,1278,2800000,0.000456429
Sunamganj,Sunamganj-4,1278,2800000,0.000456429
Sunamganj,Sunamganj-5,1278,2800000,0.000456429
Sunamganj,Sunamganj-6,1278,2800000,0.000456429
Sunamganj,Sunamganj-7,1278,2800000,0.000456429
Sunamganj,Sunamganj-8,1278,2800000,0.000456429
Sunamganj,Sunamganj-9,1278,2800000,0.000456429
Sunamganj,Sunamganj-10,1278,2800000,0.000456429
Sylhet,Sylhet-1,3787,3957000,0.000957038
Sylhet,Sylhet-2,3787,3957000,0.000957038
Sylhet,Sylhet-3,3787,3957000,0.000957038
Sylhet,Sylhet-4,3787,3957000,0.000957038
Sylhet,Sylhet-5,3787,3957000,0.000957038
Sylhet,Sylhet-6,3787,3957000,0.000957038
Sylhet,Sylhet-7,3787,3957000,0.000957038
Sylhet,Sylhet-8,3787,3957000,0.000957038
Sylhet,Sylhet-9,3787,3957000,0.000957038
Sylhet,Sylhet-10,3787,3957000,0.000957038
Sylhet,Sylhet-11,3787,3957000,0.000957038
Tangail,Tangail-1,1271,3923000,0.000323987
Tangail,Tangail-2,1271,3923000,0.000323987
Tangail,Tangail-3,1271,3923000,0.000323987
Tangail,Tangail-4,1271,3923000,0.000323987
Tangail,Tangail-5,1271,3923000,0.000323987
Tangail,Tangail-6,1271,3923000,0.000323987
Tangail,Tangail-7,1271,3923000,0.000323987
Tangail,Tangail-8,1271,3923000,0.000323987
Tangail,Tangail-9,1271,3923000,0.000323987
Tangail,Tangail-10,1271,3923000,0.000323987
Tangail,Tangail-11,1271,3923000,0.000323987
Thakurgaon,Thakurgaon-1,206,1553000,0.000132646
Thakurgaon,Thakurgaon-2,206,1553000,0.000132646
Thakurgaon,Thakurgaon-3,206,1553000,0.000132646
Thakurgaon,Thakurgaon-4,206,1553000,0.000132646
Thakurgaon,Thakurgaon-5,206,1553000,0.000132646
